fips_code,PSVI_score,PSVI_cluster
47055,39.16,Minor
39039,39.19,Minor
48165,39.22,Minor
29201,39.26,Minor
16087,39.29,Minor
41033,39.32,Minor
39175,39.36,Minor
55119,39.39,Minor
32510,39.42,Minor
31047,39.45,Minor
20075,39.49,Minor
53005,39.52,Minor
19005,39.55,Minor
21051,39.59,Minor
30031,39.62,Minor
13091,39.65,Minor
46065,39.68,Minor
56013,39.72,Minor
29089,39.75,Minor
18111,39.78,Minor
16043,39.82,Minor
47121,39.85,Minor
29131,39.88,Minor
50019,39.91,Minor
21163,39.95,Minor
1017,39.98,Minor
17199,40.01,Minor
39125,40.05,Minor
22067,40.08,Minor
13195,40.11,Minor
28095,40.14,Minor
24009,40.18,Minor
24039,40.21,Minor
31097,40.24,Minor
47023,40.28,Minor
8009,40.31,Minor
31059,40.34,Minor
46087,40.37,Minor
36109,40.41,Minor
13171,40.44,Minor
12113,40.47,Minor
13109,40.51,Minor
47141,40.54,Minor
29195,40.57,Minor
47151,40.6,Minor
21065,40.64,Minor
18017,40.67,Minor
22053,40.7,Minor
17165,40.74,Minor
37091,40.77,Minor
48387,40.8,Minor
1035,40.83,Minor
31093,40.87,Minor
55103,40.9,Minor
19185,40.93,Minor
48443,40.97,Minor
8077,41,Minor
26031,41.03,Minor
13255,41.06,Minor
49039,41.1,Minor
37061,41.13,Minor
46025,41.16,Minor
19057,41.2,Minor
24045,41.23,Minor
13127,41.26,Minor
13219,41.29,Minor
22113,41.33,Minor
21191,41.36,Minor
21181,41.39,Minor
28073,41.43,Minor
40047,41.46,Minor
30085,41.49,Minor
1131,41.52,Minor
12123,41.56,Minor
8014,41.59,Minor
18169,41.62,Minor
21227,41.66,Minor
