county,2014_score,2014_rate,2015_score,2015_rate,2016_score,2016_rate,2017_score,2017_rate,2018_score,2018_rate,2019_score,2019_rate,2020_score,2020_rate,2021_score,2021_rate,2022_score,2022_rate,2023_score,2023_rate
19069,21.94,Minor,24.92,Minor,34.12,Minor,49.83,Minor,13.83,Minor,27.96,Minor,32.46,Minor,49.11,Minor,42.19,Minor,1.29,Minor
19071,31.7,Minor,17.47,Minor,10.32,Minor,14.36,Minor,17.21,Minor,21.74,Minor,36,Minor,37.72,Minor,35.51,Minor,32.36,Minor
19073,76.74,Moderate,1.06,Minor,22.37,Minor,31.3,Minor,47.78,Minor,27.37,Minor,30.15,Minor,67.9,Moderate,40.11,Minor,51.82,Minor
19075,35.77,Minor,19.76,Minor,41.23,Minor,33.92,Minor,59.5,Minor,16.38,Minor,1.69,Minor,15.85,Minor,47.25,Minor,56.55,Minor
19077,38.91,Minor,3.81,Minor,8.64,Minor,5.33,Minor,35.31,Minor,11.52,Minor,28.49,Minor,23.92,Minor,59.07,Moderate,51.16,Minor
19079,25.58,Minor,6.19,Minor,4.27,Minor,6.02,Minor,64.59,Minor,22.77,Minor,21.38,Minor,23.33,Minor,78.66,Moderate,35.41,Minor
19081,33.42,Minor,20.78,Minor,23.13,Minor,22.34,Minor,26.9,Minor,59.83,Minor,42.95,Minor,65.16,Moderate,33.39,Minor,67.77,Minor
19083,33.62,Minor,17.04,Minor,12.48,Minor,15.55,Minor,38.52,Minor,28.46,Minor,45.8,Minor,23.26,Minor,55.49,Minor,46.06,Minor
19085,25.78,Minor,22.6,Minor,20.02,Minor,14.79,Minor,16.05,Minor,18.8,Minor,23.83,Minor,27.53,Minor,57.31,Minor,32.36,Minor
19087,59.66,Minor,17.54,Minor,6.85,Minor,14.46,Minor,11.05,Minor,47.82,Minor,58.21,Minor,17.27,Minor,60.56,Moderate,59.36,Minor
19089,38.25,Minor,42.36,Minor,28.46,Minor,7.58,Minor,8.47,Minor,42.19,Minor,37.39,Minor,20.78,Minor,36.33,Minor,67.07,Minor
19091,35.04,Minor,64.86,Minor,11.12,Minor,5.53,Minor,37.86,Minor,24.06,Minor,28.16,Minor,38.45,Minor,60.19,Moderate,17.29,Minor
19093,28.06,Minor,15.98,Minor,53.18,Minor,13.24,Minor,16.31,Minor,17.64,Minor,33.72,Minor,33.42,Minor,43.85,Minor,17.29,Minor
19095,54.14,Minor,54.9,Minor,10.62,Minor,15.06,Minor,50.63,Minor,84.48,Moderate,75.71,Moderate,40.24,Minor,75.48,Moderate,39.61,Minor
19097,35.34,Minor,7.97,Minor,30.58,Minor,56.75,Minor,21.21,Minor,18.17,Minor,20.85,Minor,14.96,Minor,25.81,Minor,44.94,Minor
19099,52.98,Minor,38.75,Minor,40.24,Minor,38.05,Minor,80.58,Moderate,44.61,Minor,53.47,Minor,27.96,Minor,66.21,Moderate,58.5,Minor
19101,57.18,Minor,16.51,Minor,16.78,Minor,31.6,Minor,45.73,Minor,30.08,Minor,36.73,Minor,40.54,Minor,54.67,Minor,40.47,Minor
19103,66.31,Moderate,58.04,Minor,59.46,Minor,79.32,Moderate,94.64,Major,61.42,Minor,90.6,Moderate,81.87,Moderate,88.48,Moderate,48.05,Minor
19105,33.36,Minor,20.09,Minor,27.73,Minor,24.29,Minor,46.69,Minor,44.64,Minor,47.65,Minor,44.41,Minor,50.33,Minor,57.74,Minor
19107,69.09,Moderate,13.9,Minor,10.06,Minor,19.89,Minor,40.73,Minor,31.93,Minor,51.75,Minor,21.21,Minor,45.3,Minor,50.56,Minor
19109,27.93,Minor,13.67,Minor,0.66,Minor,7.31,Minor,9.83,Minor,24.16,Minor,31.54,Minor,29.78,Minor,51.29,Minor,45.6,Minor
19111,64.39,Moderate,21.18,Minor,20.98,Minor,75.41,Moderate,12.11,Minor,52.08,Minor,44.14,Minor,68.1,Moderate,48.35,Minor,51.03,Minor
19113,87.72,Moderate,66.21,Minor,52.81,Minor,87.29,Moderate,98.01,Severe,76.8,Moderate,78.16,Moderate,64.06,Minor,85.57,Moderate,61.48,Minor
19115,43.08,Minor,25.45,Minor,35.08,Minor,18.43,Minor,28.42,Minor,53.31,Minor,21.28,Minor,49.21,Minor,44.41,Minor,41.96,Minor
19117,39.54,Minor,5.23,Minor,13.17,Minor,5.72,Minor,8.54,Minor,40.4,Minor,38.22,Minor,16.31,Minor,40.04,Minor,45.14,Minor
19119,0.07,Minor,23.53,Minor,24.35,Minor,6.55,Minor,10.46,Minor,45.86,Minor,1.19,Minor,21.08,Minor,33.22,Minor,17.29,Minor
19121,28.19,Minor,6.72,Minor,21.28,Minor,7.84,Minor,9.2,Minor,8.54,Minor,36.33,Minor,37.69,Minor,30.54,Minor,56.49,Minor
19123,25.65,Minor,17.8,Minor,50.23,Minor,6.65,Minor,25.88,Minor,27.63,Minor,43.91,Minor,48.68,Minor,60.85,Moderate,55.26,Minor
19125,46.56,Minor,9.66,Minor,11.65,Minor,10.46,Minor,37.26,Minor,31.04,Minor,36.86,Minor,35.8,Minor,31.9,Minor,17.29,Minor
19127,62.71,Minor,11.25,Minor,22.63,Minor,21.71,Minor,90.77,Moderate,66.55,Moderate,60.82,Minor,84.55,Moderate,91.56,Major,90.3,Moderate
19129,29.52,Minor,53.24,Minor,70.09,Minor,16.02,Minor,16.78,Minor,29.62,Minor,30.08,Minor,59.4,Minor,52.75,Minor,32.36,Minor
19131,44.51,Minor,5.2,Minor,27.23,Minor,8.54,Minor,8.04,Minor,75.71,Moderate,31.73,Minor,43.98,Minor,41.23,Minor,38.98,Minor
19133,21.48,Minor,14.3,Minor,55.92,Minor,10.42,Minor,9,Minor,14.33,Minor,19.42,Minor,11.12,Minor,65.88,Moderate,17.29,Minor
19135,27.13,Minor,65.88,Minor,52.18,Minor,46.33,Minor,51.92,Minor,78.26,Moderate,35.41,Minor,34.35,Minor,92.95,Major,64.1,Minor
19137,25.84,Minor,43.45,Minor,4.53,Minor,63.77,Minor,24.59,Minor,16.25,Minor,38.68,Minor,32.16,Minor,44.57,Minor,17.29,Minor
19139,31.17,Minor,8.27,Minor,7.84,Minor,13.83,Minor,22.5,Minor,23.56,Minor,14.56,Minor,21.31,Minor,41.63,Minor,42.62,Minor
19141,30.48,Minor,21.24,Minor,34.98,Minor,16.84,Minor,9.03,Minor,25.65,Minor,33.65,Minor,36.4,Minor,29.19,Minor,17.29,Minor
19143,24.45,Minor,18.37,Minor,0.89,Minor,3.04,Minor,7.05,Minor,70.38,Moderate,21.01,Minor,61.58,Minor,1.39,Minor,38.32,Minor
19145,25.15,Minor,22.17,Minor,15.52,Minor,15.75,Minor,16.15,Minor,24.19,Minor,28.52,Minor,35.18,Minor,54.33,Minor,41.1,Minor
