fips_code,PSVI_score,PSVI_cluster
5025,52.25,Moderate
5027,65.02,Moderate
5029,71.91,Moderate
5031,79.09,Moderate
5033,54.9,Moderate
5035,71.64,Moderate
5037,12.38,Minor
5039,17.04,Minor
5041,15.52,Minor
5043,31.04,Minor
5045,87.13,Moderate
5047,44.01,Moderate
5049,21.61,Minor
5051,87.06,Moderate
5053,58.47,Moderate
5055,50.5,Moderate
5057,75.18,Moderate
5059,38.29,Minor
5061,22.8,Minor
5063,49.5,Moderate
5065,15.78,Minor
5067,58.04,Moderate
5069,67.8,Moderate
5071,54.73,Moderate
5073,17.17,Minor
5075,13,Minor
5077,30.28,Minor
5079,72.27,Moderate
5081,22.6,Minor
5083,41.83,Moderate
5085,37.23,Minor
5087,23.83,Minor
5089,14.53,Minor
5091,75.41,Moderate
5093,76.8,Moderate
5095,40.27,Moderate
5097,27.83,Minor
5099,55.13,Moderate
5101,2.25,Minor
5103,36.96,Minor
5105,2.65,Minor
5107,30.81,Minor
5109,56.78,Moderate
5111,18.63,Minor
5113,67.9,Moderate
5115,74.59,Moderate
5117,39.11,Moderate
5119,96.92,Major
5121,54.24,Moderate
5123,12.54,Minor
5125,87.29,Moderate
5127,6.29,Minor
5129,66.31,Moderate
5131,84.25,Moderate
5133,35.27,Minor
5135,26.94,Minor
5137,9.36,Minor
5139,82.83,Moderate
5141,61.09,Moderate
5143,89.28,Moderate
5145,62.64,Moderate
5147,32.3,Minor
5149,40.34,Moderate
6001,99.17,Severe
6003,65.59,Moderate
6005,75.31,Moderate
6007,97.52,Major
6009,82.69,Moderate
6011,40.37,Moderate
6013,98.81,Severe
6015,16.15,Minor
6017,98.41,Severe
6019,97.25,Major
6021,66.28,Moderate
6023,78.36,Moderate
6025,94.47,Major
6027,41.03,Moderate
6029,98.08,Severe
6031,79.32,Moderate
6033,61.65,Moderate
6035,86.1,Moderate
6037,100,Extreme
6039,92.22,Major
6041,91.43,Major
6043,39.68,Moderate
6045,55.26,Moderate
6047,84.91,Moderate
6049,29.19,Minor
6051,77.37,Moderate
6053,95.14,Major
6055,93.51,Major
6057,95.23,Major
6059,99.7,Extreme
6061,97.09,Major
6063,42.98,Moderate
6065,99.67,Extreme
6067,99.14,Severe
6069,53.18,Moderate
6071,99.74,Extreme
6073,99.57,Severe
6075,95.53,Major
6077,94.04,Major
6079,93.81,Major
6081,98.15,Severe
6083,97.35,Major
6085,99.44,Severe
6087,96.16,Major
6089,96.46,Major
6091,75.68,Moderate
6093,40.11,Moderate
6095,96.49,Major
6097,99.27,Severe
6099,73.4,Moderate
6101,55.39,Moderate
6103,74.85,Moderate
6107,95.76,Major
6109,95.33,Major
6111,99.34,Severe
6113,94.14,Major
6115,87.62,Moderate
8001,90.14,Major
8003,6.92,Minor
8005,92.59,Major
8007,4.77,Minor
8009,69.32,Moderate
8013,88.95,Moderate
8014,43.78,Moderate
8015,10.95,Minor
8017,10.36,Minor
8019,29.81,Minor
8021,5.29,Minor
8023,0.17,Minor
8025,1.13,Minor
8027,0.63,Minor
8029,35.34,Minor
8031,97.19,Major
8033,83.88,Moderate
8035,80.21,Moderate
8037,73.13,Moderate
8039,19.46,Minor
8041,93.75,Major
8043,4.96,Minor
8045,82.46,Moderate
8047,16.81,Minor
8049,82.5,Moderate
8051,73.2,Moderate
8053,77.53,Moderate
8057,12.05,Minor
8059,94.01,Major
8063,25.28,Minor
8065,18,Minor
8067,38.62,Moderate
8069,81.4,Moderate
8073,5.49,Minor
8075,1.52,Minor
8077,53.61,Moderate
8079,83.06,Moderate
8081,20.88,Minor
8083,51.03,Moderate
8085,42.42,Moderate
8087,38.32,Minor
8089,0.03,Minor
8091,74.69,Moderate
8093,27.17,Minor
8097,5.03,Minor
8101,66.18,Moderate
8103,68.83,Moderate
8105,2.32,Minor
8107,67.04,Moderate
8109,31.63,Minor
8111,7.05,Minor
8115,57.58,Moderate
8117,3.81,Minor
8119,2.75,Minor
8121,85.67,Moderate
8123,91,Major
9001,93.15,Major
9003,91.79,Major
9005,63.07,Moderate
9007,1.39,Minor
9009,93.25,Major
9011,80.54,Moderate
9013,61.32,Moderate
9015,56.72,Moderate
10001,83.52,Moderate
10003,94.87,Major
10005,93.41,Major
